Circle,State
BI,JHARKHAND
DE,DELHI
MP,MADHYA PRADESH
OR,ODISHA
RA,RAJASTHAN
UE,UTTAR PRADESH
UW,UTTARAKHAND
UW,UTTAR PRADESH
