SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000512,Jamlapani,Jamlapani,0338,54,34682,505946
10000513,Haripur,,0306,47,5340,500237
10000514,Sidhpura,,0306,47,5340,500237
10000515,Dudhrai,,0306,47,5340,500237
10000516,Sukwa,Sukwa,0338,54,34680,505945
10000517,Belai,,0306,47,5340,500237
10000518,Nandiyakhedi,Nandiyakhedi,0338,54,34683,505947
10000519,Maktankheri,,0306,47,5340,500237
10000520,Bagiya,,0306,47,5340,500237
10000521,Katiyapur,,0306,47,5340,500237
10000522,Fatheyabad,,0306,47,5340,500237
10000523,Lidhora,,0306,47,5340,500237
10000524,Lidhora,,0306,47,5340,500237
10000525,Padri,,0306,47,5340,500237
10000526,Salona,,0306,47,5340,500237
10000527,Dhamrasha,,0306,47,5340,500237
10000528,Jamusr,,0306,47,5340,500237
10000529,Kothitanda,Kothitanda,0338,54,34675,505943
10000530,Sidhawarkut,Sidhwarkut,0338,54,34675,505943
10000531,Panthiya,Panthiya,0338,54,34668,505936
10000532,Thapna,Thapna,0338,54,34675,505943
10000533,Rishipura,Rishipura,0338,54,34675,505943
10000534,Mandhata,Mandhata,0338,54,34668,505936
10000535,Bakhatgarh,Bakhatgarh,0338,54,10000534,
10000536,Godadpura,Godadpura,0338,54,10000534,
10000537,Dukiya,Dukiya,0338,54,10000534,
10000538,Khedighat,Khedighat,0338,54,10000534,
10000539,Pathada,Pathada,0337,54,34865,505756
10000540,Junapani,Junapani,0337,54,34866,505757
10000541,Bamangaon Bhilla,Bamangaon Bhilla,0337,54,34814,505705
10000542,Pahetiya,Pahetiya,0337,54,34865,505756
10000543,Ratagarh,Ratagarh,0337,54,34866,505757
10000544,Chirakhadan,Chirakhadan,0337,54,34866,505757
10000545,Delcover,,0305,47,5217,500114
10000546,Singpur,,0305,47,5217,500114
10000547,Chhatarpur,,0305,47,5217,500114
10000548,Mohchar,,0305,47,5217,500114
10000549,naisaray,,0305,47,5217,500114
10000550,budera,,0305,47,5217,500114
10000551,Narayanpur,,0309,47,6834,500866
10000552,Sagar Chak,,0309,47,6834,500866
10000553,Nili Ghurak,,0309,47,6834,500866
10000554,Barwatpur,,0309,47,6834,500866
10000555,Dangaliya,,0309,47,6834,500866
10000556,Gyaraspur,,0309,47,6834,500866
10000557,Siddhpura,,0309,47,6834,500866
10000558,Bangla Chouraha,,0309,47,6834,500866
10000559,Rori Chak,,0309,47,6834,500866
10000560,Ghoom Chak,,0309,47,6834,500866
10000561,Kulua Chak,,0309,47,6834,500866
10000562,Toriya,,0309,47,6834,500866
10000563,Jiyagigarh,,0309,47,6834,500866
10000564,Naigarhi,,0309,47,6834,500866
10000565,Jarkhar,,0309,47,6834,500866
10000566,Jakhora,,0309,47,6834,500866
10000567,Fajalpur,,0309,47,6834,500866
10000568,Sheetalpur,,0309,47,6834,500866
10000569,Madhopur,,0309,47,6834,500866
10000570,Vijay Nagar,,0309,47,6834,500866
10000571,Nisai Ji,,0309,47,6834,500866
10000572,Khironda Chak,,0309,47,6834,500866
10000573,Choodaman,,0309,47,6834,500866
10000574,Rampura,,0309,47,6834,500866
10000575,Tinsi,,0309,47,6834,500866
10000576,Mepua,,0309,47,6834,500866
10000577,Thigli,,0309,47,6834,500866
10000578,Imaliya,,0309,47,6834,500866
10000579,Sihora Khurd,,0309,47,6834,500866
10000580,Hans Nagar,,0309,47,6834,500866
10000581,Khalilpur,,0309,47,6834,500866
10000582,Semra Pahad,,0308,47,6057,500593
10000583,Barkheda Gond,,0308,47,6057,500593
10000584,Porukhedi,,0308,47,6057,500593
10000585,Porukhedi,,0308,47,6057,500593
10000586,Kharkali,Kharkali,0337,54,34897,505785
10000587,Vijaypura,,0308,47,6057,500593
10000588,Bamooriya,,0308,47,6057,500593
10000589,Bamooriya,,0308,47,6057,500593
10000590,Kalsha,,0308,47,6057,500593
10000591,Vijaypura,,0308,47,6057,500593
10000592,Chhaprai,,0308,47,6057,500593
10000593,Chhaprai,,0308,47,6057,500593
10000594,Chhaprai,,0308,47,6057,500593
10000595,Kethai,,0308,47,6057,500593
10000596,Shyamatora,,0308,47,6057,500593
10000597,Koodai,,0308,47,6057,500593
10000598,Veerpur,,0308,47,6057,500593
10000599,Banjriya Chak,,0308,47,6057,500593
10000600,,,,,0339,54,35063,506098
10000601,Banjriya Chak,,0308,47,6057,500593
10000602,Tamoiya,,0308,47,6057,500593
10000603,Amahital,,0308,47,6057,500593
10000604,Gandhi nagar,,0308,47,6057,500593
10000605,Bharsha babdi,&nbsp;,0308,47,6057,500593
10000606,Purachhipon,,0308,47,6057,500593
10000607,Bhonsle Chak,&nbsp;,0308,47,6057,500593
10000608,,,,,0339,54,35048,506083
10000609,Viayani,,0308,47,10000607,
10000610,Atari khejra,,0308,47,6057,500593
10000611,Khejrahat,,0308,47,6057,500593
10000612,Sonera Chak,,0308,47,6057,500593
10000613,Muhalkhedi,,0308,47,6057,500593
10000614,Chhajju Barkheda,,0308,47,6057,500593
10000615,Lal barkheda,,0308,47,6057,500593
10000616,Dharohi chak,,0308,47,6057,500593
10000617,Dharohi chak,,0308,47,6057,500593
10000618,Dagadbadiya,Dagadbadiya,0339,54,35046,506081
10000619,Babdikheda,,0308,47,6057,500593
10000620,Baddadhana,Baddadhana,0271,43,51076,494313
10000621,Lalmati,Lalmati,0339,54,35090,506125
10000622,Junapani,Junapani,0339,54,35090,506125
10000623,Piplya Khurd,Piplya Khurd,0339,54,35117,506152
10000624,Kumthi,Kumthi,0339,54,35088,506123
10000625,Badgaon Piplod,Badgaon Piplod,0339,54,35075,506110
10000626,Ghatakhedi,Ghatakhedi,0339,54,35093,506128
10000627,Khodari,Khodari,0339,54,35075,506110
10000628,Kalnka,Kalnka,0339,54,35112,506147
10000629,Jamla,Jamla,0339,54,35112,506147
10000630,Suktanagar-Lingi,Suktanagar-Lingi,0339,54,35124,506159
10000631,Hemgir,Hemgir,0339,54,35121,506156
10000632,Kawadikheda,Kawadikheda,0337,54,34966,505853
10000633,Seetabedi,Seetabedi,0337,54,35010,505897
10000634,Bediyakhal,Bediyakhal,0335,54,34510,505541
10000635,Temrukhorda,Temrukhorda,0335,54,34507,505538
10000636,Patakhali,Patakhali,0335,54,34507,505538
10000637,Jummarkhali-hamunangha,Jummarkhali,0335,54,34476,505512
10000638,Bamangaon,Bamangaon,0335,54,34487,505523
10000639,Kodiyakhadan,Kodiyakhadan,0335,54,34487,505523
10000640,Salikheda,Salikheda,0338,54,34444,505929
10000641,Nagarbeda,Nagarbeda,0338,54,34444,505929
