SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
4998,SHC Naudhiya,SHC Naudhiya,1043,0322,50,25,,0,0
4999,SHC MOHTARA,SHC MOHTARA,915,0261,41,79,,0,0
5001,SHC Khamhria,SHC Khamhria,908,0246,38,8,,0,0
5002,SHC SAILWAR,SHC SAILWAR,915,0261,41,80,,0,0
5003,SHC Makrohar,SHC Makrohar,869,0326,51,34,,0,0
5004,SHC MUSAMUNDI,SHC MUSAMUNDI,915,0261,41,81,,0,0
5005,SHC NIPANIYA,SHC NIPANIYA,836,0310,48,16,,0,0
5006,SHC Masandha,SHC Masandha,908,0246,38,9,,0,0
5007,SHC Chamradol,SHC Chamradol,1043,0322,50,26,,0,0
5008,SHC GORAKHPUR,SHC GORAKHPUR,915,0261,41,82,,0,0
5009,SHC Malgo,SHC Malgo,869,0326,51,35,,0,0
5010,SHC Mohtara,SHC Mohtara,908,0246,38,10,,0,0
5011,SHC PAPOUNDH,SHC PAPOUNDH,836,0310,48,17,,0,0
5012,SHC MEDHAKHAR,SHC MEDHAKHAR,914,0261,41,83,,0,0
5013,SHC Noagai,SHC Noagai,869,0326,51,36,,0,0
5014,SHC BARGAON,SHC BARGAON,914,0261,41,84,,0,0
5015,SHC Pakar,SHC Pakar,908,0246,38,11,,0,0
5016,SHC JADASURANG,SHC JADASURANG,918,0261,41,85,,0,0
5018,SHC DALKOKOTHAR,SHC DALKOKOTHAR,836,0310,48,18,,0,0
5019,SHC Patori,SHC Patori,908,0246,38,12,,0,0
5020,SHC RUSA,SHC RUSA,918,0261,41,86,,0,0
5021,SHC Baihar,SHC Baihar,890,0295,45,1,,0,0
5022,SHC BIJHAURI,SHC BIJHAURI,914,0261,41,87,,0,0
5023,SHC Rajmilan,SHC Rajmilan,869,0326,51,37,,0,0
5024,SHC PAPODH,SHC PAPODH,836,0310,48,19,,0,0
5025,SHC Supeli,SHC Supeli,908,0246,38,13,,0,0
5026,SHC Shashan,SHC Shashan,869,0326,51,38,,0,0
5027,SHC SAKANDI,SHC SAKANDI,836,0310,48,20,,0,0
5028,SHC RAITWAR,SHC RAITWAR,914,0261,41,88,,0,0
5030,SHC Supela,SHC Supela,969,0321,50,1,,0,0
5031,SHC KABIR,SHC KABIR,914,0261,41,89,,0,0
5032,SHC Sigahi,SHC Sigahi,869,0326,51,39,,0,0
5033,SHC TIKHWA,SHC TIKHWA,836,0310,48,21,,0,0
5034,SHC Compounder tola,SHC Compounder tola,890,0295,45,2,,0,0
5035,SHC CHAURA DADAR,SHC CHAURA DADAR,914,0261,41,90,,0,0
5036,SHC Savaicha,SHC Savaicha,969,0321,50,2,,0,0
5037,SHC Teldah,SHC Teldah,869,0326,51,40,,0,0
5038,SHC PARSEL,SHC PARSEL,918,0261,41,91,,0,0
5039,SHC SARSI,SHC SARSI,836,0310,48,22,,0,0
5040,SHC Bandhi Station,SHC Bandhi Station,903,0246,38,14,,0,0
5041,SHC BARNAI,SHC BARNAI,918,0261,41,92,,0,0
5042,SHC Byohari,SHC Byohari,1063,0282,44,12,,0,0
5043,SHC Raunda tola,SHC Raunda tola,890,0295,45,3,,0,0
5044,SHC Baghor,SHC Baghor,969,0321,50,3,,0,0
5046,SHC Jhurki,SHC Jhurki,1063,0282,44,13,,0,0
5047,SHC Kodia,SHC Kodia,903,0246,38,15,,0,0
5048,SHC Tiyra,SHC Tiyra,869,0326,51,41,,0,0
5049,SHC KARANJIYA,SHC KARANJIYA,914,0261,41,93,,0,0
5050,SHC Piparia,SHC Piparia,890,0295,45,4,,0,0
5051,SHC Chitwaria,SHC Chitwaria,969,0321,50,4,,0,0
5052,SHC Urti,SHC Urti,869,0326,51,42,,0,0
