TCode,Name_E,Name_G,BID
0257,Narsimhapur(0257),Narsimhapur(0257),251
0255,Gotegaon(0255),Gotegaon(0255),251
0259,Tendukheda(0259),Tendukheda(0259),251
0255,Gotegaon(0255),Gotegaon(0255),237
0012,Ater(0012),Ater(0012),355
0016,Gohad(0016),Gohad(0016),354
0014,Mehgaon(0014),Mehgaon(0014),353
0017,Ron(0017),Ron(0017),357
0013,Bhind(0013),Bhind(0013),358
0001,Vijaypur(0001),Vijaypur(0001),1
0004,Badoda(0004),Badoda(0004),1
0002,Beerpur(0002),Beerpur(0002),1
0003,Sheopur(0003),Sheopur(0003),1
0312,Sohagpur(0312),Sohagpur(0312),286
0313,Jaitpur(0313),Jaitpur(0313),285
0310,Beohari(0310),Beohari(0310),18
0018,Mihona(0018),Mihona(0018),356
0313,Jaitpur(0313),Jaitpur(0313),20
0012,Ater(0012),Ater(0012),358
0016,Gohad(0016),Gohad(0016),353
0237,Babai(0237),Babai(0237),91
0102,Gurh(0102),Gurh(0102),345
0252,Jabalpur(0252),Jabalpur(0252),277
0040,Mohangarh(0040),Mohangarh(0040),5
0236,Dolariya(0236),Dolariya(0236),91
0234,Itarsi(0234),Itarsi(0234),91
0236,Dolariya(0236),Dolariya(0236),88
0292,Lalbarra(0292),Lalbarra(0292),213
0288,Katangi(0288),Katangi(0288),218
0342,Nepanagar(0342),Nepanagar(0342),327
0258,Kareli(0258),Kareli(0258),238
0258,Kareli(0258),Kareli(0258),237
0313,Jaitpur(0313),Jaitpur(0313),286
0096,Semaria(0096),Semaria(0096),351
0009,Joura(0009),Joura(0009),133
0065,Khurai(0065),Khurai(0065),86
0296,Paraswada(0296),Paraswada(0296),258
0014,Mehgaon(0014),Mehgaon(0014),354
0313,Jaitpur(0313),Jaitpur(0313),18
0095,Mangawan(0095),Mangawan(0095),287
0253,Panagar(0253),Panagar(0253),264
0340,Burhanpur(0340),Burhanpur(0340),328
0250,Patan(0250),Patan(0250),272
0316,Jaithari(0316),Jaithari(0316),10
0253,Panagar(0253),Panagar(0253),277
0315,Anuppur(0315),Anuppur(0315),12
0317,Pushparajgarh(0317),Pushparajgarh(0317),363
0189,Narsinghgarh(0189),Narsinghgarh(0189),79
0190,Pachore,Pachore,79
0261,Dindori ,Dindori ,243
0292,Lalbarra,Lalbarra,220
0261,Dindori ,Dindori ,248
0044,Tikamgarh,Tikamgarh,4
0042,Baldeogarh,Baldeogarh,5
0036,Niwari,Niwari,6
0038,Prithvipur,Prithvipur,7
0039,Jatara,Jatara,8
0041,Palera,Palera,9
0316,Jaithari,Jaithari,13
0315,Anuppur,Anuppur,10
0316,Jaithari,Jaithari,13
0314,Kotma,Kotma,12
0103,Bandhogarh,Bandhogarh,14
0105,Manpur,Manpur,15
0106,Pali,Pali,16
0310,Beohari,Beohari,17
0311,Jaisinghnagar,Jaisinghnagar,18
0089,Amarpatan,Amarpatan,22
0091,Maihar,Maihar,23
0083,Majhgawan,Majhgawan,24
0085,Nagod,Nagod,25
0082,Raghurajnagar,Raghurajnagar,26
0090,Ramnagar,Ramnagar,27
0087,Rampur Baghelan,Rampur Baghelan,28
0086,Unchahara,Unchahara,29
0326,Singrauli,Singrauli,32
0261,Dindori ,Dindori ,246
0329,Meghnagar,Meghnagar,39
0327,Thandla,Thandla,41
0328,Petlawad,Petlawad,45
0329,Meghnagar,Meghnagar,39
0328,Petlawad,Petlawad,45
0327,Thandla,Thandla,41
0205,Ashta,Ashta,47
0209,Budni,Budni,48
0226,Amla,Amla,49
0207,Ichhawar,Ichhawar,50
0293,Balaghat,Balaghat,227
0208,Nasrullaganj,Nasrullaganj,52
0194,Basoda,Basoda,53
0204,Shyampur,Shyampur,54
0056,Ajaigarh,Ajaigarh,55
0222,Chicholi,Chicholi,56
0280,Lakhnadon,Lakhnadon,247
0061,Pawai,Pawai,58
0079,Damoh,Damoh,59
0089,Amarpatan,Amarpatan,22
0220,Athner,Athner,61
0081,Tendukheda,Tendukheda,62
0286,Barghat,Barghat,230
0080,Jabera,Jabera,64
0198,Gyaraspur,Gyaraspur,65
0078,Patharia,Patharia,66
0057,Panna,Panna,67
0193,Kurwai,Kurwai,68
0077,Batiyagarh,Batiyagarh,69
0203,Sehore,Sehore,70
0075,Hatta,Hatta,71
0191,Lateri,Lateri,72
0076,Patera,Patera,73
0186,Rajgarh,Rajgarh,74
0059,Gunnor,Gunnor,75
0196,Nateran,Nateran,76
0221,Betul ,Betul ,77
0187,Biaora,Biaora,78
0079,Damoh,Damoh,59
0081,Tendukheda,Tendukheda,62
0205,Ashta,Ashta,47
0062,Shahnagar,Shahnagar,80
0080,Jabera,Jabera,64
0200,Vidisha,Vidisha,81
0078,Patharia,Patharia,66
0044,Tikamgarh,Tikamgarh,4
0077,Batiyagarh,Batiyagarh,69
0075,Hatta,Hatta,71
0076,Patera,Patera,73
0192,Sironj,Sironj,82
0083,Majhgawan,Majhgawan,24
0065,Khurai,Khurai,84
0281,Chhapara,Chhapara,233
0207,Ichhawar,Ichhawar,50
0066,Malthone,Malthone,86
0056,Ajaigarh,Ajaigarh,55
0190,Pachore,Pachore,112
0067,Banda,Banda,87
0211,Raisen,Raisen,119
0206,Jawar,Jawar,47
0238,Sohagpur,Sohagpur,116
0037,Orchha,Orchha,6
0208,Nasrullaganj,Nasrullaganj,52
0192,Sironj,Sironj,82
0237,Babai,Babai,88
0061,Pawai,Pawai,58
0204,Shyampur,Shyampur,54
0062,Shahnagar,Shahnagar,80
0063,Raipura,Raipura,80
0203,Sehore,Sehore,70
0240,Bankhedi,Bankhedi,89
0084,Birsinghpur,Birsinghpur,24
0261,Dindori ,Dindori ,249
0068,Shahgarh,Shahgarh,92
0184,Jirapur,Jirapur,93
0040,Mohangarh,Mohangarh,8
0213,Begamganj,Begamganj,94
0091,Maihar,Maihar,23
0234,Itarsi,Itarsi,96
0195,Tyonda,Tyonda,53
0212,Gairatganj,Gairatganj,97
0052,Bada Malhera,Bada Malhera,98
0223,Ghodadongari,Ghodadongari,99
0043,Khargapur,Khargapur,5
