SID,VCode
129,7799
129,7800
130,7811
130,7813
130,7814
130,7816
130,7817
131,7820
131,7821
131,7823
131,7826
131,7830
131,7831
131,7832
132,7881
132,7882
132,7883
132,7884
132,7885
133,7824
133,7825
133,7827
133,7828
133,7829
134,7835
134,7836
134,7837
134,7839
134,7840
134,7860
135,7788
135,7789
135,7791
135,7815
135,7818
135,7819
136,7948
136,7949
136,7951
136,7952
136,7953
136,7954
136,7955
136,7956
136,7958
136,8075
137,7674
137,7941
137,7942
137,7943
137,7946
137,7950
138,7971
138,7976
138,7978
138,7982
138,8001
138,10001090
138,10001091
139,7944
139,7947
139,7957
139,7959
139,7960
139,7961
139,7962
139,7963
140,7971
140,7972
140,7973
140,7974
140,7975
141,7977
141,7980
141,7981
141,8004
141,8006
141,8007
141,8081
142,7964
142,7965
142,7968
142,7969
142,7970
142,7979
143,7935
143,7936
143,7937
143,7938
143,7939
143,7940
143,8059
144,7990
144,7991
144,7992
144,7994
144,7999
144,10001094
145,7945
145,7983
145,7984
145,7985
145,7986
145,7987
145,7988
145,7989
145,8000
145,10001093
146,7420
146,7421
146,7422
146,7423
146,7442
146,7443
146,7444
147,7360
147,7436
147,7437
147,7439
147,7440
147,7445
148,7325
148,7326
148,7426
148,7427
148,7435
149,7337
149,7431
149,7434
149,7435
149,7441
150,20222
151,20230
152,20220
152,20286
152,20288
153,20238
153,20241
154,20151
154,20231
155,20141
155,20147
155,20148
155,20149
156,20223
156,20227
156,10000344
157,20275
157,20284
157,20285
158,20215
158,20216
158,20217
159,20270
159,20271
159,20272
159,20273
159,20276
160,20239
160,20244
160,20245
160,20246
161,20213
161,20214
162,20140
162,20145
162,20225
162,20226
163,20232
163,20233
163,20234
163,20235
163,20237
164,20236
164,20240
165,18876
165,18903
165,18911
165,19019
166,18861
166,18873
166,18934
166,18935
166,18936
166,18937
166,18940
166,18941
167,18918
167,18919
167,18920
167,18923
167,18925
167,18927
167,18928
167,18929
167,18930
167,18931
167,19033
168,18809
168,18818
168,18825
168,18876
168,18892
168,18893
168,18894
168,18904
168,19026
168,19028
169,18791
169,18821
169,18907
169,18913
169,18914
169,18921
169,18959
170,18811
170,18812
170,18815
170,18827
170,18828
170,18829
170,18895
170,19030
171,18992
171,18993
171,18994
171,18995
171,18996
172,20219
172,20220
172,20221
172,20224
173,20202
173,20287
173,20291
173,20293
174,18772
174,18981
174,18985
174,19016
174,19017
174,19018
175,18832
175,18983
175,18984
175,18986
175,19019
175,19022
175,19023
175,19024
175,19025
175,19026
175,19027
176,20199
176,20201
176,20243
176,20248
177,20218
178,10000345
179,10000346
179,10000347
180,20264
180,20265
181,20249
182,10000348
182,10000349
183,20227
183,10000350
183,10000351
184,20257
184,20258
184,20259
184,20263
185,18975
185,18979
185,18980
185,18982
185,18987
185,18988
185,18989
186,18858
186,19001
186,19007
186,19008
186,19010
186,19011
187,18997
187,18998
187,18999
187,19000
188,19002
188,19003
188,19004
188,19005
188,19006
189,20256
190,18842
190,18844
190,18846
190,18847
190,18855
190,18866
190,18867
190,19032
191,18829
191,18890
191,18933
191,18948
191,18949
191,18951
191,18953
191,18954
191,18955
191,18957
192,10000352
193,18860
193,18869
193,18942
193,18945
193,18946
193,18947
193,18956
193,18963
194,18859
194,18860
194,18861
194,18862
194,18863
194,18865
194,18875
194,18970
194,18974
194,18975
194,18976
194,18977
194,18978
195,18878
195,18958
195,18959
195,18960
195,18962
195,18964
195,18965
195,18966
195,18967
195,18968
195,18969
195,18971
195,18972
195,18973
196,18868
196,18869
196,18871
196,18872
196,18873
196,18874
196,18877
196,18879
196,18880
196,18883
196,18885
196,18891
197,18759
197,18761
197,18762
197,18763
197,18764
198,19033
198,19041
198,19042
198,19043
198,19044
198,19045
199,20255
199,20260
199,20261
199,20262
200,18854
200,18977
200,19028
200,19029
200,19030
200,19031
200,19046
200,19047
200,19059
201,18760
201,18767
201,18768
201,18771
202,18848
202,18849
202,18850
202,18851
202,18852
202,18856
202,18857
202,19034
203,20150
203,20252
203,10000353
205,20249
205,20267
208,20138
208,20139
208,20269
209,20266
209,20268
211,20254
211,10000354
215,18572
215,18573
215,18578
215,18580
216,20274
216,20277
216,20278
216,20279
216,20280
217,18576
217,18579
217,18582
217,18583
217,18584
217,18585
217,18659
218,18575
218,18592
218,18594
219,18540
219,18541
219,18542
219,18543
220,18564
220,18566
220,18571
220,18574
221,20205
221,20211
222,18586
222,18588
222,18589
222,18591
223,18568
223,18569
223,18570
223,18663
224,18587
224,18590
224,18595
224,18596
224,18597
224,18598
225,18676
225,18678
225,18679
225,18680
226,18681
226,18682
226,18683
226,18684
226,18685
227,18540
227,18689
227,18691
227,18692
227,18693
227,18695
227,18735
228,20207
229,18607
229,18687
229,18688
229,18694
229,18696
229,18697
229,18698
229,18699
229,18700
230,18667
230,18670
230,18671
230,18672
230,18690
231,18622
231,18673
231,18674
231,18677
232,20204
233,20206
234,18587
234,18594
234,18732
234,18733
234,18755
234,18756
234,18757
235,20208
235,20209
236,18647
236,18651
236,18701
236,18703
236,18704
236,18708
236,300072
237,18724
237,18744
237,18745
237,18746
