PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
874,Chhipabarod,सीएचसी छीपाबडौद	,,31,0221,89,,,2,0,False
875,Bamla,बामला,,31,0216,90,,,1,0,False
876,Sundlak,सुन्‍दलक,,31,0216,90,,,1,0,False
877,Fatehpur,फतेहपुर,,31,0216,90,,,1,0,False
878,Koyla,कोयला,,31,0216,90,,,1,0,False
879,Mathana,माथना,,31,0216,90,,,1,0,False
880,Paraniya,परानिया,,31,0218,91,,,1,0,False
881,Nahargarh,नाहरगढ,,31,0218,91,,,1,0,False
882,Jalwara,जलवाडा,,31,0218,91,,,1,0,False
883,Relawan,रेलवान,,31,0218,91,,,1,0,False
884,Bhanwargarh,भवंरगढ,,31,0218,91,,,1,0,False
885,Bajranggarh,बजंरगगढ,,31,0218,91,,,1,0,False
886,Kishanganj,सीएचसी किशनगंज,,31,0218,91,,,2,0,False
887,District Hospital Baran,जिला अस्‍पताल बारां,,31,0000,,,,5,0,False
888,City Dispensary Baran,सिटी डिस्‍पेंसरी बांरा,,31,0000,,,,8,0,False
584,City Dispensary High Court,शहरी चिकित्‍सालय उच्‍च न्‍यायालय	,,12,0090,,,,8,0,False
585,City Dispensary Dhahar ka balaji,शहरी चिकित्‍सालय ढहर का बालाजी,,12,0090,,,,8,0,False
586,MCWC Gandhi Nagar,एमसीडब्‍लूसी गांधीनगर	,,12,0090,,,,8,0,False
587,MCWC Chora Rasta,एमसीडब्‍लूसी चोडा रास्‍ता	,,12,0090,,,,8,0,False
588,City Dispensary Shanti Nagar,शहरी चिकित्‍सालय शांतिनगर	,,12,0090,,,,8,0,False
589,City Dispensary RPA,शहरी चिकित्‍सालय आरपीऐ	,,12,0090,,,,8,0,False
590,City Dispensary Vidhayak Nagar,शहरी चिकित्‍सालय विधायक नगर	,,12,0090,,,,8,0,False
591,City Dispensary Satyayatan Ashram,शहरी चिकित्‍सालय सत्‍यायतन आश्रम	,,12,0090,,,,8,0,False
592,DHP Mansarovar,डीएचपी मानसरोवर	,,12,0090,,,,8,0,False
593,DHP Jawahar Nagar,डीएचपी जवाहर नगर,,12,0090,,,,8,0,False
594,DHP Motikatla,डीएचपी मोतीकटला	,,12,0090,,,,8,0,False
595,DHP Sardar Patel,डीएचपी शरदार पटेल	,,12,0090,,,,8,0,False
596,HFWTC Heera Bagh,एचएफडब्‍लूटीसी हीराबाग	,,12,0090,,,,8,0,False
700,Fatehpur,फतेहपुर,,13,0095,71,,,2,0,False
701,Ramgarh Sethan,राम् गढसेढन ,,13,0095,71,,,2,0,False
702,Ganeri,गनेडी,,13,0096,72,,,1,0,False
703,Garoda,गाडोदा,,13,0096,72,,,1,0,False
704,Mangluna,मंगलूणा,,13,0096,72,,,1,0,False
705,Mirjawas,मिर्जवास,,13,0096,72,,,1,0,False
706,Nechwa,नेछवा,,13,0096,72,,,2,0,False
707,Panlawa,पनलावा,,13,0096,72,,,1,0,False
708,Patoda,पाटोदा,,13,0096,72,,,1,0,False
709,Jasraser,जसरासर,,13,0096,72,,,1,0,False
710,Kheerwa,खीरवा,,13,0096,72,,,1,0,False
711,Laxmangarh,लक्ष्मणगढ ,,13,0096,72,,,2,0,False
712,Jhingar Chotti,झीगर छोटी,,13,0097,73,,,1,0,False
713,Rasidpura,रसीदपुरा,,13,0097,73,,,1,0,False
714,Kirdoli,किरडोली,,13,0097,73,,,1,0,False
715,Kasi Ka Bas,कसिकाबास्,,13,0097,73,,,1,0,False
716,Phagalwa,फगलवा,,13,0097,73,,,1,0,False
717,Fatehpura,फतेह्पुरा,,13,0097,73,,,1,0,False
718,Nagwa,नागवा,,13,0097,73,,,1,0,False
719,Dujod,दुजोद,,13,0097,73,,,1,0,False
720,Kudan,कूदन ,,13,0097,73,,,2,0,False
721,Dhodh,धोद ,,13,0097,73,,,2,0,False
722,Sirohi,सिरोही,,13,0100,74,,,1,0,False
723,Chala,चला,,13,0100,74,,,1,0,False
724,Hasampur,हसामपुर,,13,0100,74,,,1,0,False
725,Cheeplata,चीपलाटा,,13,0100,74,,,1,0,False
726,Raipur Jagir,रायपुर जागीर,,13,0100,74,,,1,0,False
727,Bhudoli,भूदोली,,13,0100,74,,,1,0,False
728,Ganeshwar,गणेश्वर,,13,0100,74,,,1,0,False
729,Dabla,डाबला,,13,0100,74,,,1,0,False
730,Tatera,टटेरा,,13,0100,74,,,1,0,False
731,Dokan,डोकन,,13,0100,74,,,1,0,False
732,Toda,टोडा,,13,0100,74,,,1,0,False
733,Raipur Patan,रायपुर पाटन,,13,0100,74,,,1,0,False
734,Deepawas,दीपावास,,13,0100,74,,,1,0,False
735,Ladhee Ka Bas,लादी का बास,,13,0100,74,,,1,0,False
736,Guhala,गुहाला ,,13,0100,74,,,2,0,False
737,Patan,पाटन ,,13,0100,74,,,2,0,False
738,Neem Ka Thana,नीम का थाना ,,13,0100,74,,,4,0,False
739,Mundru,मूण्डरू,,13,0099,75,,,1,0,False
740,Divrala,दिवराला,,13,0099,75,,,1,0,False
741,Nagal,नांगल,,13,0099,75,,,1,0,False
742,Mahroli,महरोली,,13,0099,75,,,2,0,False
743,Aabhawas,आभावास,,13,0099,75,,,1,0,False
744,Jojawarnagar,जोरावरनगर,,13,0099,75,,,1,0,False
745,Sargoth,सरगोठ,,13,0099,75,,,1,0,False
746,Dhabawali,ढ़ाबावाली,,13,0099,75,,,1,0,False
747,Sri Madhopur,श्रीमाधोपुर,,13,0099,75,,,2,0,False
748,Ajeetgarh,अजीतगढ ,,13,0099,75,,,4,0,False
749,Reengus,रींगस,,13,0099,75,,,2,0,False
750,Jajod,जाजोद	,,13,0099,76,,,2,0,False
751,Kanwat,कांवट,,13,0099,76,,,2,0,False
752,Thoi,थोई,,13,0099,76,,,2,0,False
753,Goriya,गोरिया,,13,0099,76,,,1,0,False
754,Hood,होद,,13,0099,76,,,1,0,False
755,Chokri,चौकडी	,,13,0099,76,,,1,0,False
756,Jharali,झाडली	,,13,0099,76,,,1,0,False
757,Hathi Deh,हाथीदेह	,,13,0099,76,,,1,0,False
758,Kotri Luharwas,कोटडी लुहारवास	,,13,0099,76,,,1,0,False
759,Khandela,खंण्डेला ,,13,0098,76,,,2,0,False
760,Palsana,पलसाना,,13,0098,77,,,2,0,False
761,Ranoli,रानोली,,13,0098,77,,,1,0,False
762,Tarpura,तारपुरा,,13,0097,77,,,1,0,False
763,Shishu,शिश्यू,,13,0097,77,,,1,0,False
764,Shyamgarh,श्यामगढ,,13,0097,77,,,1,0,False
765,Kolira,कोलीडा,,13,0097,77,,,2,0,False
766,Rewasa Tirth,रेवासा,,13,0097,77,,,1,0,False
767,Singhasan,सिंहासन,,13,0097,77,,,1,0,False
768,Piprali,पीपराली ,,13,0097,77,,,2,0,False
769,Khud,खूड	,,13,0098,78,,,1,0,False
770,Dantaramgarh,दॉतारामगढ.,,13,0098,78,,,1,0,False
771,Pachaar,पचार	,,13,0098,78,,,1,0,False
772,Banuda,बानूडा,,13,0098,78,,,1,0,False
773,Roopgarh May Rehat,रूपगढ	,,13,0098,78,,,1,0,False
774,Kochor,कोछोर	,,13,0098,78,,,1,0,False
775,Bay,बाय,,13,0095,78,,,1,0,False
776,Dasroli,डांसरोली,,13,0098,78,,,1,0,False
777,Danta,दांता ,,13,0095,78,,,2,0,False
778,Khatushayamji,खाटूश्यामजी ,,13,0095,78,,,2,0,False
779,Khachriyawas,खाचरियावास ,,13,0098,78,,,2,0,False
780,Losal,लोसल,,13,0098,78,,,2,0,False
781,S K Hospital, Sikar,एस के हॉस्‍पीटल सीकर,,13,0000,,,,5,0,False
782,City Dispensary No 1 Sikar,सीटी ि‍डस्‍पेन्‍सरी न0 एक सीकर,,13,0000,,,,8,0,False
783,City Dispensary No 2 Sikar,सीटी ि‍डस्‍पेन्‍सरी न0 दो  सीकर,,13,0000,,,,8,0,False
784,TB Clinic Sikar,टी बी ि‍कलीि‍नक सीकर,,13,0000,,,,8,0,False
785,Police Dispensary Sikar,पुि‍लस ि‍डस्‍पेन्‍सरी, सीकर,,13,0000,,,,8,0,False
786,Jail Dispensary Sikar,जेल ि‍डस्‍पेन्‍सरी, सीकर,,13,0000,,,,8,0,False
508,Saiwad Shahpura,साईवाड शाहपुरा	,,12,0084,58,,,1,0,False
509,Amarsar,अमरसर	,,12,0084,58,,,2,0,False
