BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
98,Jhalrapatan,झालरापाटन,Jhalrapatan,32,0223,709
99,Bakani,बकानी,Bakani,32,0223,707
100,Manoharthana,मनोहरथाना,Manoharthana,32,0225,711
101,Dag,डग,Dag,32,0228,708
102,Pirawa,पिडावा,Pirawa,32,0227,
103,Ladpura,लाडपुरा,Ladpura,30,0211,737
104,Sangod,सागोंद,Sangod,30,0213,738
105,Sultanpur,सुलतानपुर,Sultanpur,30,0210,739
106,Itawa,इटावा,Itawa,30,0209,735
107,Chechat (Khairabad),चेचट ,Chechat (Khairabad),30,0212,
108,Sheo,शिव,Sheo,17,0121,608
109,Baytu,बायतु,Baytu,17,0122,
110,Balotra,बालोतरा,Balotra,17,0123,603
111,Barmer,बाडमेर,Barmer,17,0126,604
112,Chohtan,चौहटन,Chohtan,17,0128,606
113,Sindhary,सिन्‍धरी,Sindhary,17,0124,
114,Dhorimana,धौरीमन्‍ना,Dhorimana,17,0125,
115,Siwana,सिवाना,Siwana,17,0124,610
116,Jaisalmer,जैसलमेर	,Jaisalmer,16,0118,697
117,Pokaran,पोकरण	,Pokaran,16,0119,
118,Ramgarh,रामगढ	,Ramgarh,16,0118,
119,Jalore,जालोर,Jalore,18,0003,702
120,Sayla,सायला,Sayla,18,0129,706
121,Ahore,आहोर,Ahore,18,0130,700
122,Raniwara,रानीवाडा,Raniwara,18,0135,704
123,Sanchore,सांचोर	,Sanchore,18,0134,705
124,Bhinmal,भीनमाल,Bhinmal,18,0132,701
125,Jaswantpura,जसवंतपुरा ,Jaswantpura,18,0132,703
126,Chitalwana,चितालवाना,Chitalwana,18,0134,6732
127,Phalodi,फलौदी	,Phalodi,15,0111,728
128,Bap,बाप,Bap,15,0111,722
129,Osian,ओसिंया,Osian,15,0112,727
130,Bhopalgarh,भोपालगढ़,Bhopalgarh,15,0113,723
131,Shergarh,शेरगढ	,Shergarh,15,0115,729
132,Balesar,बालेसर,Balesar,15,0111,721
133,Mandor,मण्‍डोर,Mandor,15,0114,726
134,Luni,लूनी,Luni,15,0116,725
135,Bilara,बिलाडा,Bilara,15,0117,724
136,Bawri,बावड़ी ,Bawri,15,0112,6718
137,Jaitaran,जैतारण,Jaitaran,20,0141,753
138,Raipur,रायपुर,Raipur,20,0142,756
139,Sojat,सोजत,Sojat,20,0143,759
140,Pali,पाली,Pali,20,0145,755
141,Rohat,रोहट,Rohat,20,0144,758
142,Kharchi,खारची,Kharchi,20,0146,754
143,Desuri,देसुरी,Desuri,20,0147,752
144,Rani Station,रानी स्‍टेशन,Rani Station,20,0150,757
145,Bali,बाली,Bali,20,0149,751
146,Sumerpur,सुमेरपुर,Sumerpur,20,0148,760
147,Sheoganj,शिवगंज,Sheoganj,19,0136,784
148,Sirohi,सिरोही,Sirohi,19,0137,785
149,Pindwara,पिण्‍डवाडा,Pindwara,19,0138,782
150,Abu Road,आबूरोड,Abu Road,19,0139,781
151,Reodar,रेवदर,Reodar,19,0140,783
152,Ghatol,घाटोल,Ghatol,28,0194,592
153,Partapur,परतापुर,Partapur,28,0195,
154,Choti Sarwan,छोटी सरवन,Choti Sarwan,28,0196,6606
155,Bagidora,बागीदौरा,Bagidora,28,0197,589
156,Kushalgarh,कुशलगढ्,Kushalgarh,28,0198,593
157,Chota Dungara,छोटा डुँगरा,Chota Dungara,28,0197,
158,Talwara,तलवाडा,Talwara,28,0196,
159,Anandpuri,आन्‍नदपुरी,Anandpuri,28,0197,588
160,Rashmi,राशमी,Rashmi,29,0199,653
161,Gangrar,गंगरार,Gangrar,29,0200,649
162,Begun,बैंगू ,Begun,29,0201,642
163,Rawatbhata,रावतभाटा	,Rawatbhata,29,0202,
164,Chittorgarh,चित्‍तौडगढ	,Chittorgarh,29,0000,647
165,Kapasan,कपासन,Kapasan,29,0204,650
166,Bhopalsagar,भूपालसागर ,Bhopalsagar,29,0204,645
167,Dungla,डूंगला	,Dungla,29,0205,648
168,Bhadesar,भदेसर ,Bhadesar,29,0206,643
169,Nimbahera,निम्‍बाहेडा,Nimbahera,29,0207,651
170,Bari Sadri,बडी सादडी ,Bari Sadri,29,0208,641
171,Dungarpur,डूंगरपुर,Dungarpur,27,0190,671
172,Aspur,आसपुर,Aspur,27,0191,669
173,Sagwara,सागवाडा,Sagwara,27,0192,672
174,Simalwara,सिमलवाडा,Simalwara,27,0193,673
175,Bichiwara,बिछिवाडा,Bichiwara,27,0190,
176,Amet,आमेट	,Amet,25,0185,761
177,Bhim,भीम,Bhim,25,0183,762
178,Deogarh,देवगढ,Deogarh,25,0184,763
179,Khamnor,खमनोर,Khamnor,25,0189,764
180,Kumbhalgarh,कुम्‍भलगढ,Kumbhalgarh,25,0186,765
181,Rajsamand,राजसमन्‍द,Rajsamand,25,0187,767
182,Railmagra,रेलमगरा,Railmagra,25,0188,766
183,Kotra,कोटडा	,Kotra,33,0231,799
184,Girwa,गिर्वा,Girwa,33,0233,795
185,Salumbar,सलूम्‍बर,Salumbar,33,0236,801
186,Bargaon,बडगांव,Bargaon,33,0200,792
187,Lasadia,लसाडिया,Lasadia,33,0235,6620
188,Gogunda,गोगून्‍दा,Gogunda,33,0230,796
189,Sarada,सराडा,Sarada,33,0237,802
190,Jhadol,झाडोल,Jhadol,33,0232,797
