SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000050,SAMBALPUR,SAMBALPUR,0171,22,6737,369265
10000051,GHAGHRAZARA,GHAGHRAZARA,0171,22,6737,369265
10000052,KHARIYATAND,KHARIYATAND,0171,22,6683,369211
10000053,Madhaya,Madhaya,0015,1,0,
10000054,Hoor,Hoor,0015,1,0,
10000055,Haraya,Haraya,0015,1,0,
10000056,Tiwari Marhatia,Tiwari Marhatia,0015,1,0,
10000057,Dubey Marhatia,Dubey Marhatia,0015,1,0,
10000058,Tenhri Haraya,Tenhri Haraya,0015,1,0,
10000059,Jhura,Jhura,0015,1,0,
10000060,DHANGARDIHA,DHANGARDIHA,0002,1,24,
10000061,KUNWARDHIKA,KUNWARDHIKA,0002,1,24,
10000062,BAGAHI,BAGAHI,0002,1,24,
10000063,BARWABANDH,BARWABANDH,0002,1,24,
10000064,ASANABANDH,ASANABANDH,0002,1,24,
10000065,ROHINIAN,ROHINIAN,0002,1,21,
10000066,BAKHARIDAMAR,BAKHARIDAMAR,0002,1,21,
10000067,JHAGRAKHANR,JHAGRAKHANR,0002,1,21,
10000068,JIRHULA,JIRHULA,0002,1,21,
10000069,KACHHARWA,KACHHARWA,0002,1,21,
10000070,MAIDHIA,MAIDHIA,0002,1,21,
10000071,BHANWARIA,BHANWARIA,0002,1,21,
10000072,DHANGARDIHA,DHANGARDIHA,0002,1,10000060,
10000073,AMRORA,AMRORA,0002,1,0,
10000074,RAJI,RAJI,0002,1,0,
10000075,PARASPANI,PARASPANI,0002,1,0,
