BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
333,KALYANSINGPUR,KALYANSINGPUR,kalyansingpur,27,0424,3551
335,KASHIPUR,KASHIPUR,Kashipur,27,0425,3552
337,KOTAGARH,KOTAGARH,Subarnagiri,21,0371,3428
338,PAPADAHANDI,PAPADAHANDI,Papadahandi,28,0441,3519
341,K.NUAGAON,K.NUAGAON,K. Nuagaon,21,0368,3426
342,KOLNORA,KOLNORA,Kolnora,27,0430,3553
343,PHIRINGIA,PHIRINGIA,Phiringia,21,0366,3429
345,MUNIGUDA,MUNIGUDA,Muniguda,27,0421,3554
347,PADMAPUR,PADMAPUR,Padmapur,27,0433,3555
348,PHULBANI,PHULBANI,Gumagarh,21,0360,3430
349,KOTPAD,KOTPAD,Kotpad,29,0447,3472
350,RAMANAGUDA,RAMANAGUDA,Ramanaguda,27,0431,3556
352,RAIKIA,RAIKIA,Raikia,21,0374,3431
353,TIKABALI,TIKABALI,Tikabali,21,0363,3432
354,RAYAGADA,RAYAGADA,Rayagada,27,0429,3557
355,RAIRANGPUR,RAIRANGPUR,Rairangpur,7,0107,3503
356,BARACHANA,BARACHANA,Barachana,13,0228,3394
357,BARI,BARI,Bari,13,0231,3395
361,KUSUMI,KUSUMI,Kusumi,7,0112,3501
362,KUNDURA,KUNDURA,Kundura,29,0458,3473
364,BAHALDA,BAHALDA,Bahalda,7,0105,3488
366,BANGRIPOSI,BANGRIPOSI,Bangriposi,7,0121,3489
368,BINJHARPUR,BINJHARPUR,Bijharpur,13,0230,3396
370,BARIPADA,BARIPADA,Baripada Sadar,7,0119,3490
371,DANAGADI,DANAGADI,Danagadi,13,0218,3398
373,DHARMASALA,DHARMASALA,Dharmasala,13,0225,3397
374,BARASAHI,BARASAHI,Barasahi,7,0128,3487
375,KOREI,KOREI,Korei,13,0220,3401
376,BETNATI,BETNATI,Betnati,7,0126,3491
377,BISOI,BISOI,Bisoi,7,0110,3493
380,SUKINDA,SUKINDA,Sukinda,13,0215,3403
382,NABARANGPUR,NABARANGPUR,Nabarangpur,28,0444,3517
384,RASULPUR,RASULPUR,Rasulpur,13,0227,3402
385,DASARATHPUR,DASARATHPUR,Dasarathpur,13,0232,3399
386,JAJPUR,JAJPUR,Jajpur,13,0224,3400
389,KALIMELA,KALIMELA,Kalimela,30,0475,3480
390,MALKANGIRI,MALKANGIRI,Pandripani,30,0468,3484
392,MATHILI,MATHILI,Mathili,30,0469,3485
393,RAIGHAR,RAIGHAR,Hatabharandi,28,0435,3520
394,KORUKONDA,KORUKONDA,Korukonda,30,0474,3482
395,UMARKOTE,UMARKOTE,Pujariguda,28,0437,3522
396,KHAIRPUT,KHAIRPUT,Khairput,30,0470,3481
399,KUDUMULUGUMA,KUDUMULUGUMA,Kudumuluguma,30,0472,3483
400,PODIA,PODIA,Podia,30,0478,3486
402,UDALA,UDALA,Udala,7,0130,3512
404,TIRINGI,TIRINGI,Tiringi,7,0104,3511
405,KUNDULI,KUNDULI,Kunduli,29,0463,3479
406,THAKURMUNDA,THAKURMUNDA,Thakurmunda,7,0117,3510
407,SULIAPADA,SULIAPADA,Suliapada,7,0123,3509
408,RASGOBINDAPUR,RASGOBINDAPUR,Rasgobindapur,7,0125,3505
409,RARUAN,RARUAN,Raruan,7,0114,3504
410,MORADA,MORADA,Morada,7,0124,3502
411,KOLIANA,KOLIANA,Koliana,7,0120,3500
412,KARANJIA,KARANJIA,Karanjia,7,0116,3498
415,TENTULIKHUNTI,TENTULIKHUNTI,Tentulikhunti,28,0445,3521
422,KORAPUT,KORAPUT,Koraput,29,0455,3471
427,Dasapalla,Dasapalla,PHC Madhyakhanda,16,00,3524
430,KHANDAPADA,KHANDAPADA,CHC Nuagadiasahi,16,0273,3526
431,KAPTIPADA,KAPTIPADA,Kaptipada,7,0131,3497
433,BHAPUR,BHAPUR,CHC Bhapur,16,0274,3523
434,GANIA,GANIA,UGPHC Gania,16,0269,3525
