TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0134,691,Baripada (M) P.S.,Baripada (M) P.S.,7,2888,True
0135,692,Raibania P.S. ,Raibania P.S. ,8,2889,True
0136,693,Jaleswar P.S. ,Jaleswar P.S. ,8,2890,True
0137,694,Bhograi P.S.,Bhograi P.S.,8,2891,True
0138,525,Kamarda P.S. (New),Kamarda P.S. (New),8,2892,True
0139,526,Baliapal P.S. ,Baliapal P.S. ,8,2893,True
0140,527,Singla P.S. ,Singla P.S. ,8,2894,True
0141,528,Basta P.S. ,Basta P.S. ,8,2895,True
0142,529,Rupsa P.S. ,Rupsa P.S. ,8,2896,True
0143,530,Baleshwar Sadar P.S.(P) ,Baleshwar Sadar P.S.(P) ,8,2897,True
0144,532,Sahadevkhunta P.S.(New),Sahadevkhunta P.S.(New),8,2898,True
0145,533,Chandipur P.S. ,Chandipur P.S. ,8,2899,True
0146,534,Balaramgadi Marine,Balaramgadi Marine,8,2900,True
0147,535,Bampada P.S. ,Bampada P.S. ,8,2901,True
0148,536,Remuna P.S. ,Remuna P.S. ,8,2902,True
0149,537,Nilagiri P.S. ,Nilagiri P.S. ,8,2903,True
0150,538,Berhampur P.S. ,Berhampur P.S. ,8,2904,True
0151,539,Oupada P.S. ,Oupada P.S. ,8,2905,True
0152,540,Khaira P.S. ,Khaira P.S. ,8,2906,True
0153,541,Soro P.S.,Soro P.S.,8,2907,True
0154,542,Similia P.S. ,Similia P.S. ,8,2908,True
0155,543,Baleshwar (M) P.S.,Baleshwar (M) P.S.,8,2909,True
0156,544,Agarpada P.S. ,Agarpada P.S. ,9,2910,True
0157,545,Bant P.S. ,Bant P.S. ,9,2911,True
0158,546,Bhandari Pokhari P.S. ,Bhandari Pokhari P.S. ,9,2912,True
0159,547,Dhamanagar P.S.,Dhamanagar P.S.,9,2913,True
0160,548,Bhadrak Rural P.S. ,Bhadrak Rural P.S. ,9,2914,True
0161,549,Basudebpur P.S. ,Basudebpur P.S. ,9,2915,True
0162,550,Naikanidihi P.S. ,Naikanidihi P.S. ,9,2916,True
0163,695,Tihidi P.S.,Tihidi P.S.,9,2917,True
0164,696,Dhusuri P.S.,Dhusuri P.S.,9,2918,True
0165,697,Chandabali P.S. ,Chandabali P.S. ,9,2919,True
0166,698,Bansada P.S. ,Bansada P.S. ,9,2920,True
0167,699,Dhamara Marine P.S.(New),Dhamara Marine P.S.(New),9,2921,True
0168,700,Rajkanika ,Rajkanika ,10,2922,True
0169,701,Rajnagar,Rajnagar,10,2923,True
0170,702,Jamboo Marine  ,Jamboo Marine  ,10,2924,True
0171,703,Aali ,Aali ,10,2925,True
0172,704,Pattamundai ,Pattamundai ,10,2926,True
0173,705,Kendrapara (Urban),Kendrapara (Urban),10,2927,True
0174,706,Kendrapara Sadar  ,Kendrapara Sadar  ,10,2928,True
0175,707,Nikirai ,Nikirai ,10,2929,True
0176,708,Derabish ,Derabish ,10,2930,True
0177,709,Patkura ,Patkura ,10,2931,True
0178,710,Marsaghai ,Marsaghai ,10,2932,True
0179,711,Mahakalapada ,Mahakalapada ,10,2933,True
0180,712,Paradip P.S. ,Paradip P.S. ,11,2934,True
0181,713,Paradeep Lock P.S. (New),Paradeep Lock P.S. (New),11,2935,True
0182,714,Kujang P.S.,Kujang P.S.,11,2936,True
0183,715,Abhyachandpur P.S. (New),Abhyachandpur P.S. (New),11,2937,True
0184,716,Ersama P.S. ,Ersama P.S. ,11,2938,True
0185,717,Tirtol P.S. ,Tirtol P.S. ,11,2939,True
0186,718,Jagatsinghapur P.S.,Jagatsinghapur P.S.,11,2940,True
0187,584,Biridi P.S.(New),Biridi P.S.(New),11,2941,True
0188,585,Naugaon P.S.,Naugaon P.S.,11,2942,True
0189,587,Balikuda P.S. ,Balikuda P.S. ,11,2943,True
0190,588,Narasinghpur ,Narasinghpur ,12,2944,True
0191,589,Kanpur ,Kanpur ,12,2945,True
0192,590,Badamba ,Badamba ,12,2946,True
0193,591,Baidyeswar,Baidyeswar,12,2947,True
0194,592,Banki  ,Banki  ,12,2948,True
0195,593,Tigiria ,Tigiria ,12,2949,True
0196,594,Athagad  ,Athagad  ,12,2950,True
0197,595,Barang  ,Barang  ,12,2951,True
0198,596,Gurudijhatia ,Gurudijhatia ,12,2952,True
0199,597,Khuntuni ,Khuntuni ,12,2953,True
0200,598,Choudwar ,Choudwar ,12,2954,True
0201,599,Tangi ,Tangi ,12,2955,True
0202,600,Mahanga ,Mahanga ,12,2956,True
0203,725,Salepur ,Salepur ,12,2957,True
0204,726,Nischintakoili  ,Nischintakoili  ,12,2958,True
0205,727,Nemalo ,Nemalo ,12,2959,True
0206,728,Kishannagar P.S. ,Kishannagar P.S. ,12,2960,True
0207,729,Jagatpur  ,Jagatpur  ,12,2961,True
0208,730,Cuttack Sadar ,Cuttack Sadar ,12,2962,True
0209,731,Kandarpur,Kandarpur,12,2963,True
0210,732,C.R.R.I. ,C.R.R.I. ,12,2964,True
0211,733,Gobindpur ,Gobindpur ,12,2965,True
0212,734,Olatapur ,Olatapur ,12,2966,True
0213,735,Niali  ,Niali  ,12,2967,True
0214,736,Cuttack (M.Corp.) P.S,Cuttack (M.Corp.) P.S,12,2968,True
0215,737,Sukinda ,Sukinda ,13,2969,True
0216,738,Tomka P.S.,Tomka P.S.,13,2970,True
0217,739,Kaliapani P.S. (New),Kaliapani P.S. (New),13,2971,True
0218,740,Kalinganagar P.S. (P),Kalinganagar P.S. (P),13,2972,True
0219,741,Jakhapura P.S.(New),Jakhapura P.S.(New),13,2973,True
0220,742,Jajapur Road P.S.(P) ,Jajapur Road P.S.(P) ,13,2974,True
0221,743,Korai P.S. ,Korai P.S. ,13,2975,True
0222,744,Panikoili P.S.(P) (New),Panikoili P.S.(P) (New),13,2976,True
0223,745,Jajapur    P.S. (P),Jajapur    P.S. (P),13,2977,True
0224,746,Jajpur Sadar P.S. (P) (New),Jajpur Sadar P.S. (P) (New),13,2978,True
0225,747,Dharmasala P.S. (P),Dharmasala P.S. (P),13,2979,True
0226,748,Jenapur P.S. (P) (New),Jenapur P.S. (P) (New),13,2980,True
0227,749,Kuakhia P.S.  (New),Kuakhia P.S.  (New),13,2981,True
0228,750,Badachana P.S. (P),Badachana P.S. (P),13,2982,True
0229,751,Balichandrapur P.S. (P),Balichandrapur P.S. (P),13,2983,True
0230,752,Binjharpur P.S. (P),Binjharpur P.S. (P),13,2984,True
0231,753,Bari - Ramachandrapur P.S.(New),Bari - Ramachandrapur P.S.(New),13,2985,True
0232,754,Mangalpur P.S. ,Mangalpur P.S. ,13,2986,True
0233,755,Parajang ,Parajang ,14,2987,True
0234,756,Kamakshyanagar ,Kamakshyanagar ,14,2988,True
0235,757,Kankadahad ,Kankadahad ,14,2989,True
0236,758,Bhuban ,Bhuban ,14,2990,True
0237,759,Gandia ,Gandia ,14,2991,True
0238,760,Nihalprasad ,Nihalprasad ,14,2992,True
0239,601,Tumusingha ,Tumusingha ,14,2993,True
0240,602,Motunga ,Motunga ,14,2994,True
0241,603,Bhusan Steel Limited. ,Bhusan Steel Limited. ,14,2995,True
0242,604,Balimi ,Balimi ,14,2996,True
0243,605,Hindol ,Hindol ,14,2997,True
0244,606,Rasol ,Rasol ,14,2998,True
0245,607,Dhenkanal Sadar ,Dhenkanal Sadar ,14,2999,True
0246,608,Palalahada ,Palalahada ,15,3000,True
0247,609,Khamar ,Khamar ,15,3001,True
0248,610,Rengali Damsite ,Rengali Damsite ,15,3002,True
0249,611,Kaniha,Kaniha,15,3003,True
0250,612,N.T.P.C.  ,N.T.P.C.  ,15,3004,True
0251,613,Samal Barrage ,Samal Barrage ,15,3005,True
0252,614,Talcher Sadar ,Talcher Sadar ,15,3006,True
0253,615,Colliery ,Colliery ,15,3007,True
0254,616,Bikrampur,Bikrampur,15,3008,True
0255,617,NALCO   ,NALCO   ,15,3009,True
0256,618,Banarpal ,Banarpal ,15,3010,True
0257,619,Bhusan Steel Limited. ,Bhusan Steel Limited. ,15,,False
0258,620,Anugul ,Anugul ,15,3011,True
0259,621,Jarapada ,Jarapada ,15,3012,True
0260,622,Industrial  ,Industrial  ,15,3013,True
0261,623,Chhendipada  ,Chhendipada  ,15,3014,True
0262,624,Handapa ,Handapa ,15,3015,True
